;"referenceName";"vernacularName";"type";"family"
;"Mesembrinibis cayennensis (Gmelin, 1789)";"Ibis vert, Flamant bois";"Pelecaniformes";"Threskiornithidae (Ibis, Spatules)"
;"Micrastur gilvicollis (Vieillot, 1817)";"Carnifex à gorge cendrée";"Falconiformes (Rapaces diurnes)";"Falconidae"
;"Micrastur mirandollei (Schlegel, 1862)";"Carnifex ardoisé";"Falconiformes (Rapaces diurnes)";"Falconidae"
;"Micrastur ruficollis (Vieillot, 1817)";"Carnifex barré";"Falconiformes (Rapaces diurnes)";"Falconidae"
;"Micrastur ruficollis concentricus (Lesson, 1830)";;"Falconiformes (Rapaces diurnes)";"Falconidae"
;"Micrastur semitorquatus (Vieillot, 1817)";"Carnifex à collier";"Falconiformes (Rapaces diurnes)";"Falconidae"
;"Microbates collaris (Pelzeln, 1868)";"Microbate à collier";"Passeriformes (Passereaux)";"Polioptilidae"
;"Microbates collaris torquatus Sclater & Salvin, 1873";;"Passeriformes (Passereaux)";"Polioptilidae"
;"Microcerculus bambla (Boddaert, 1783)";"Troglodyte bambla";"Passeriformes (Passereaux)";"Troglodytidae"
;"Micropygia schomburgkii (Schomburgk, 1848)";"Râle ocellé";"Gruiformes (Grues)";"Rallidae"
;"Microrhopias quixensis (Cornalia, 1849)";"Grisin étoilé";"Passeriformes (Passereaux)";"Thamnophilidae"
;"Microrhopias quixensis microstictus (Berlepsch, 1908)";;"Passeriformes (Passereaux)";"Thamnophilidae"
;"Microxenops milleri Chapman, 1914";"Sittine à queue rousse";"Passeriformes (Passereaux)";"Furnariidae"
;"Milvago chimachima (Vieillot, 1816)";"Caracara à tête jaune";"Falconiformes (Rapaces diurnes)";"Falconidae"
;"Milvago chimachima cordatus Bangs & Penard, 1918";;"Falconiformes (Rapaces diurnes)";"Falconidae"
;"Milvus migrans (Boddaert, 1783)";"Milan noir";"Accipitriformes";"Accipitridae"
;"Milvus migrans parasitus Grant & Mackworth-Praed, 1933";"Milan noir (à bec jaune)";"Accipitriformes";"Accipitridae"
;"Milvus milvus (Linnaeus, 1758)";"Milan royal";"Accipitriformes";"Accipitridae"
