referenceName;vernacularName ;type ;family
Pterodroma brevipes (Peale, 1848);PÇtrel Ö collier;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma caribbaea Carte, 1866;;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma cervicalis (Salvin, 1891);;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma cookii (G. R. Gray, 1843);;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma deserta Mathews, 1934;PÇtrel des Desertas;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma externa (Salvin, 1875);;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma feae (Salvadori, 1899);PÇtrel gongon;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma hasitata (Kuhl, 1820);PÇtrel diablotin;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma heraldica (Salvin, 1888);PÇtrel du Herald, PÇtrel hÇraut;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma inexpectata (J. R. Forster, 1844);PÇtrel maculÇ;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma lessonii (Garnot, 1826);;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma leucoptera (Gould, 1844);PÇtrel de Gould;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma leucoptera caledonica Naurois, 1978;PÇtrel calÇdonien;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma macroptera (A. Smith, 1840);;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma madeira Mathews, 1934;PÇtrel de Madäre;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma mollis (Gould, 1844);PÇtrel soyeux;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma neglecta (Schlegel, 1863);;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma nigripennis (Rothschild, 1893);PÇtrel Ö ailes noires;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma sandwichensis (Ridgway, 1884);;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma solandri (Gould, 1844);PÇtrel de Solander;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pterodroma ultima Murphy, 1949;;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pteroglossus aracari (Linnaeus, 1758);Araáari grigri;Piciformes (Pics);Ramphastidae
Pteroglossus aracari atricollis (Statius MÅller, 1776);;Piciformes (Pics);Ramphastidae
Pteroglossus viridis (Linnaeus, 1766);Araáari vert;Piciformes (Pics);Ramphastidae
Ptilinopus chrysogaster Gray, 1853;;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus coralensis chalcurus (Gray, 1859);;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus coralensis coralensis Peale, 1848;;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus coralensis Peale, 1848;;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus dupetithouarsii (Neboux, 1840);;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus dupetithouarsii dupetithouarsii (Neboux, 1840);;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus dupetithouarsii viridior Murphy, 1924;;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus greyii Bonaparte, 1857;Ptilope de Grey, Pigeon vert des åles;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus huttoni Finsch, 1874;;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus mercierii (Des Murs & PrÇvost, 1849);;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus mercierii mercierii (Des Murs & PrÇvost, 1849);;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus mercierii tristrami Salvadori, 1892s;;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus porphyraceus (Temminck, 1821);Ptilope de ClÇmentine;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus purpuratus (Gmelin, 1789);;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus purpuratus frater Ripley & Birckhead, 1942;;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptilinopus purpuratus purpuratus (Gmelin, 1789);;Columbiformes (Pigeons, Tourterelles);Columbidae
Ptyonoprogne rupestris (Scopoli, 1769);Hirondelle de rochers;Passeriformes (Passereaux);Hirundinidae (Hirondelles)
Puffinus assimilis Gould, 1838;Petit puffin, Puffin semblable;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus auricularis myrtae Bourne, 1959;;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus auricularis Townsend, 1890;;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus bailloni bailloni Bonaparte, 1857;;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus bailloni Bonaparte, 1857;Puffin tropical, Puffin de Baillon;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus bulleri Salvin, 1888;;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus creatopus Coues, 1864;;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus gavia (J. R. Forster, 1844);Puffin volage;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus griseus (Gmelin, 1789);Puffin fuligineux;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus lherminieri baroli (Bonaparte, 1857);Puffin de MacaronÇsie, Puffin obscur;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus lherminieri gunax Mathews, 1930;Puffin d'Audubon;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus lherminieri Lesson, 1839;Puffin d'Audubon;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus lherminieri temptator Louette & Herremans, 1985;Puffin d'Audubon;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus mauretanicus Lowe, 1921;Puffin des BalÇares;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus nativitatis Streets, 1877;;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus puffinus (BrÅnnich, 1764);Puffin des Anglais;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus tenuirostris (Temminck, 1835);Puffin Ö bec gràle;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Puffinus yelkouan (Acerbi, 1827);Puffin yelkouan;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Pulsatrix perspicillata (Latham, 1790);Chouette Ö lunettes;Strigiformes (Rapaces nocturnes (Chouettes, Hiboux));Strigidae
Pycnonotus cafer (Linnaeus, 1766);Bulbul Ö ventre rouge;Passeriformes (Passereaux);Pycnonotidae
Pycnonotus jocosus (Linnaeus, 1758);;Passeriformes (Passereaux);Pycnonotidae
Pycnonotus jocosus emeria (Linnaeus, 1758);Bulbul orphÇe;Passeriformes (Passereaux);Pycnonotidae
Pygiptila stellaris (Spix, 1825);Batara ÇtoilÇ;Passeriformes (Passereaux);Thamnophilidae
Pygiptila stellaris occipitalis Zimmer, 1932;;Passeriformes (Passereaux);Thamnophilidae
Pygochelidon cyanoleuca (Vieillot, 1817);Hirondelle bleu et blanc;Passeriformes (Passereaux);Hirundinidae (Hirondelles)
Pygochelidon melanoleuca (Wied-Neuwied, 1820);Hirondelle des torrents;Passeriformes (Passereaux);Hirundinidae (Hirondelles)
Pygoscelis adeliae (Hombron & Jacquinot, 1841);Manchot Adelie;Sphenisciformes;Spheniscidae
Pygoscelis antarcticus (Forster, 1781);Manchot Ö jugulaire;Sphenisciformes;Spheniscidae
Pygoscelis papua (J. R. Forster, 1781);Manchot papou;Sphenisciformes;Spheniscidae
Pyrilia caica (Latham, 1790);Caãque Ö tàte noire;Psittaciformes (Perroquets, perruches);Psittacidae
Pyrrhocorax graculus (Linnaeus, 1766);Chocard Ö bec jaune;Passeriformes (Passereaux);Corvidae (Corbeaux, Corneilles, Pies, Geais, Casse-noix)
Pyrrhocorax pyrrhocorax (Linnaeus, 1758);Crave Ö bec rouge;Passeriformes (Passereaux);Corvidae (Corbeaux, Corneilles, Pies, Geais, Casse-noix)
Pyrrhula pyrrhula (Linnaeus, 1758);Bouvreuil pivoine;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Pyrrhula pyrrhula europaea Vieillot, 1816;;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Pyrrhula pyrrhula pyrrhula (Linnaeus, 1758);;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Pyrrhura picta (Statius MÅller, 1776);Conure versicolore;Psittaciformes (Perroquets, perruches);Psittacidae
Quelea quelea (Linnaeus, 1758);Travailleur Ö bec rouge;Passeriformes (Passereaux);Ploceidae (Moineaux)
Querula purpurata (Statius MÅller, 1776);Coracine noire;Passeriformes (Passereaux);Cotingidae
Quiscalus lugubris guadeloupensis Lawrence, 1879;Quiscale merle (guadeloupensis);Passeriformes (Passereaux);Icteridae
Quiscalus lugubris lugubris Swainson, 1838;Quiscale merle;Passeriformes (Passereaux);Icteridae
Quiscalus lugubris Swainson, 1838;Quiscale merle, Merle Franáois, CrÇdit, Cancangnan;Passeriformes (Passereaux);Icteridae
Quiscalus quiscula (Linnaeus, 1758);Quiscale bronzÇ, Mainate bronzÇ;Passeriformes (Passereaux);Icteridae
Rallus aquaticus Linnaeus, 1758;RÉle d'eau;Gruiformes (Grues);Rallidae
Rallus crepitans Gmelin, 1789;;Gruiformes (Grues);Rallidae
Rallus elegans Audubon, 1834;;Gruiformes (Grues);Rallidae
Rallus limicola Vieillot, 1819;;Gruiformes (Grues);Rallidae
Rallus longirostris Boddaert, 1783;RÉle Ö long bec, RÉle gris, Pintade;Gruiformes (Grues);Rallidae
Ramphastos toco Statius MÅller, 1776;Toucan toco;Piciformes (Pics);Ramphastidae
Ramphastos tucanus Linnaeus, 1758;Toucan Ö bec rouge, Toucan de Cuvier;Piciformes (Pics);Ramphastidae
Ramphastos vitellinus Lichtenstein, 1823;Toucan vitellin, Toucan ariel;Piciformes (Pics);Ramphastidae
Ramphocaenus melanurus albiventris Sclater, 1883;;Passeriformes (Passereaux);Polioptilidae
Ramphocaenus melanurus Vieillot, 1819;Microbate Ö long bec;Passeriformes (Passereaux);Polioptilidae
Ramphocelus carbo (Pallas, 1764);Tangara Ö bec d'argent;Passeriformes (Passereaux);Thraupidae
Ramphocelus dimidiatus Lafresnaye, 1837;;Passeriformes (Passereaux);Thraupidae
Ramphocinclus brachyurus (Vieillot, 1818);Moqueur gorge blanche;Passeriformes (Passereaux);Mimidae
Ramphotrigon ruficauda (Spix, 1825);Tyran Ö queue fauve, Tyran rougequeue;Passeriformes (Passereaux);Tyrannidae
Recurvirostra americana Gmelin, 1789;;Charadriiformes (Limicoles);Recurvirostridae
Recurvirostra avosetta Linnaeus, 1758;Avocette ÇlÇgante;Charadriiformes (Limicoles);Recurvirostridae
Regulus calendula (Linnaeus, 1766);Roitelet Ö couronne rubis;Passeriformes (Passereaux);Regulidae
Regulus ignicapilla (Temminck, 1820);Roitelet Ö triple bandeau;Passeriformes (Passereaux);Regulidae
Regulus regulus (Linnaeus, 1758);Roitelet huppÇ;Passeriformes (Passereaux);Regulidae
Regulus satrapa Lichtenstein, 1823;Roitelet Ö couronne dorÇe;Passeriformes (Passereaux);Regulidae
Remiz pendulinus (Linnaeus, 1758);RÇmiz penduline, MÇsange rÇmiz;Passeriformes (Passereaux);Remizidae
Rhipidura albiscapa bulgeri E. L. Layard, 1877;Rhipidure Ö collier, Petit läve-queue;Passeriformes (Passereaux);Corvidae (Corbeaux, Corneilles, Pies, Geais, Casse-noix)
Rhipidura albiscapa Gould, 1840;;Passeriformes (Passereaux);Corvidae (Corbeaux, Corneilles, Pies, Geais, Casse-noix)
Rhipidura verreauxi Marie, 1870;;Passeriformes (Passereaux);Corvidae (Corbeaux, Corneilles, Pies, Geais, Casse-noix)
Rhipidura verreauxi verreauxi Marie, 1870;Rhipidure tachetÇ, Grand läve-queue;Passeriformes (Passereaux);Corvidae (Corbeaux, Corneilles, Pies, Geais, Casse-noix)
Rhodostethia rosea (MacGillivray, 1924);Mouette de Ross;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Rhynchocyclus olivaceus (Temminck, 1820);Platyrhynque olivÉtre;Passeriformes (Passereaux);Tyrannidae
Rhynchocyclus olivaceus guianensis McConnell, 1911;;Passeriformes (Passereaux);Tyrannidae
Rhynochetos jubatus J. Verreaux & Des Murs, 1860;Kagou huppÇ, Cagou;Eurypygiformes;Rhynochetidae
Rhynochetos orarius Balouet & Olson, 1989;;Eurypygiformes;Rhynochetidae
Rhytipterna immunda (Sclater & Salvin, 1873);Aulia Ö ventre pÉle, Tyran Ö ventre pÉle;Passeriformes (Passereaux);Tyrannidae
Rhytipterna simplex (Lichtenstein, 1823);Aulia grisÉtre, Tyran grisÉtre;Passeriformes (Passereaux);Tyrannidae
Rhytipterna simplex frederici (Bangs & Penard, 1918);;Passeriformes (Passereaux);Tyrannidae
Riparia paludicola (Vieillot, 1817);;Passeriformes (Passereaux);Hirundinidae (Hirondelles)
Riparia riparia (Linnaeus, 1758);Hirondelle de rivage;Passeriformes (Passereaux);Hirundinidae (Hirondelles)
Rissa tridactyla (Linnaeus, 1758);Mouette tridactyle;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Rostrhamus sociabilis (Vieillot, 1817);Milan des marais;Accipitriformes;Accipitridae
Rufirallus viridis (Statius MÅller, 1776);RÉle kiolo;Gruiformes (Grues);Rallidae
Rupicola rupicola (Linnaeus, 1766);Coq-de-roche orange, Coq de roche;Passeriformes (Passereaux);Cotingidae
Rupornis magnirostris (Gmelin, 1788);Buse Ö gros bec;Accipitriformes;Accipitridae
Rynchops niger Linnaeus, 1758;Bec-en-ciseaux noir;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sakesphorus canadensis (Linnaeus, 1766);Batara huppÇ;Passeriformes (Passereaux);Thamnophilidae
Saltator albicollis Vieillot, 1817;Saltator groc bec, Saltator striÇ, Grive gros bec;Passeriformes (Passereaux);Thraupidae
Saltator coerulescens olivascens Cabanis, 1849;;Passeriformes (Passereaux);Thraupidae
Saltator coerulescens Vieillot, 1817;Saltator gris;Passeriformes (Passereaux);Thraupidae
Saltator grossus (Linnaeus, 1766);Saltator ardoisÇ;Passeriformes (Passereaux);Thraupidae
Saltator maximus (Statius MÅller, 1776);Saltator des grands-bois;Passeriformes (Passereaux);Thraupidae
Sarcoramphus papa Linnaeus, 1758;Sarcoramphe roi;Accipitriformes;Cathartidae
Sarkidiornis melanotos (Pennant, 1769);Canard Ö bosse, Sarcidiorne Ö bosse;Anseriformes (Canards, Oies, Cygnes);Anatidae
Saxicola maurus (Pallas, 1773);Tarier oriental;Passeriformes (Passereaux);Saxicolidae
Saxicola rubetra (Linnaeus, 1758);Traquet tarier, Tarier des prÇs;Passeriformes (Passereaux);Saxicolidae
Saxicola rubicola (Linnaeus, 1766);Tarier pÉtre;Passeriformes (Passereaux);Saxicolidae
Saxicola tectes (Gmelin, 1789);Traquet de la RÇunion, Tarier de la RÇunion;Passeriformes (Passereaux);Saxicolidae
Sayornis phoebe (Latham, 1790);Moucherolle phÇbi;Passeriformes (Passereaux);Tyrannidae
Sayornis saya (Bonaparte, 1825);;Passeriformes (Passereaux);Tyrannidae
Schiffornis turdina (Wied-Neuwied, 1831);Antriade turdoãde;Passeriformes (Passereaux);Tityridae
Schiffornis turdina wallacii (Sclater & Salvin, 1867);;Passeriformes (Passereaux);Tityridae
Schistochlamys melanopis (Latham, 1790);Tangara Ö camail;Passeriformes (Passereaux);Thraupidae
Sclateria naevia (Gmelin, 1788);Alapi paludicole;Passeriformes (Passereaux);Thamnophilidae
Sclerurus caudacutus (Vieillot, 1816);SclÇrure des ombres;Passeriformes (Passereaux);Furnariidae
Sclerurus mexicanus macconnelli Chubb, 1919;;Passeriformes (Passereaux);Furnariidae
Sclerurus mexicanus Sclater, 1857;SclÇrure Ö gorge rousse;Passeriformes (Passereaux);Furnariidae
Sclerurus rufigularis fulvigularis Todd, 1920;;Passeriformes (Passereaux);Furnariidae
Sclerurus rufigularis Pelzeln, 1868;SclÇrure Ö bec court;Passeriformes (Passereaux);Furnariidae
Scolopax minor Gmelin, 1789;BÇcasse d'AmÇrique;Charadriiformes (Limicoles);Scolopacidae (BÇcasses)
Scolopax rusticola Linnaeus, 1758;BÇcasse des bois;Charadriiformes (Limicoles);Scolopacidae (BÇcasses)
Scythrops novaehollandiae Latham, 1790;Coucou prÇsageur;Cuculiformes (Coucous);Cuculidae
Seiurus aurocapilla (Linnaeus, 1766);Paruline couronnÇe, Sylvette couronnÇe;Passeriformes (Passereaux);Parulidae
Selasphorus rufus (Gmelin, 1788);;Caprimulgiformes;Trochilidae
Selenidera nattereri (Gould, 1836);;Piciformes (Pics);Ramphastidae
Selenidera piperivora (Linnaeus, 1758);;Piciformes (Pics);Ramphastidae
Serinus canicollis (Swainson, 1837);Serin du Cap;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Serinus mozambicus (P. L. S. MÅller, 1776);Serin du Mozambique;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Serinus serinus (Linnaeus, 1766);Serin cini;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Setopagis maculosa (Todd, 1920);;Caprimulgiformes;Caprimulgidae
Setophaga adelaidae (Baird, 1865);Paruline d?AdÇlaãde;Passeriformes (Passereaux);Parulidae
Setophaga americana (Linnaeus, 1758);Paruline Ö collier, Sylvette parula;Passeriformes (Passereaux);Parulidae
Setophaga caerulescens (Gmelin, 1789);Paruline bleue;Passeriformes (Passereaux);Parulidae
Setophaga castanea (A. Wilson, 1810);Paruline Ö poitrine baie;Passeriformes (Passereaux);Parulidae
Setophaga cerulea (Wilson, 1810);Paruline azurÇe;Passeriformes (Passereaux);Parulidae
Setophaga citrina (Boddaert, 1783);Paruline Ö capuchon;Passeriformes (Passereaux);Parulidae
Setophaga coronata (Linnaeus, 1766);Paruline Ö croupion jaune;Passeriformes (Passereaux);Parulidae
Setophaga discolor (Vieillot, 1809);Sylvette Ö moustache, Paruline des prÇs;Passeriformes (Passereaux);Parulidae
Setophaga dominica (Linnaeus, 1766);Sylvette Ö gorge jaune, Paruline Ö gorge jaune;Passeriformes (Passereaux);Parulidae
Setophaga fusca (Statius MÅller, 1776);Paruline Ö gorge orangÇe;Passeriformes (Passereaux);Parulidae
Setophaga magnolia (Wilson, 1811);Paruline Ö tàte cendrÇe;Passeriformes (Passereaux);Parulidae
Setophaga palmarum (Gmelin, 1789);Paruline Ö couronne rousse;Passeriformes (Passereaux);Parulidae
Setophaga pensylvanica (Linnaeus, 1766);Paruline Ö flancs marron;Passeriformes (Passereaux);Parulidae
Setophaga petechia (Linnaeus, 1766);Paruline jaune;Passeriformes (Passereaux);Parulidae
Setophaga petechia bartholemica (Sundevall, 1870);Paruline des mangroves (bartholemica);Passeriformes (Passereaux);Parulidae
Setophaga pinus (A. Wilson, 1811);Paruline des pins;Passeriformes (Passereaux);Parulidae
Setophaga pitiayumi (Vieillot, 1817);Paruline Ö joues noires;Passeriformes (Passereaux);Parulidae
Setophaga pitiayumi roraimae (Chapman, 1929);;Passeriformes (Passereaux);Parulidae
Setophaga plumbea (Lawrence, 1877);Sylvette de Guadeloupe, Paruline cafÇiette;Passeriformes (Passereaux);Parulidae
Setophaga ruticilla (Linnaeus, 1758);Paruline flamboyante, Sylvette flamboyante;Passeriformes (Passereaux);Parulidae
Setophaga striata (Forster, 1772);Paruline rayÇe, Sylvette rayÇe;Passeriformes (Passereaux);Parulidae
Setophaga tigrina (Gmelin, 1789);Paruline tigrÇe;Passeriformes (Passereaux);Parulidae
Setophaga virens (Gmelin, 1789);Paruline Ö gorge noire;Passeriformes (Passereaux);Parulidae
Sialia currucoides (Bechstein, 1798);;Passeriformes (Passereaux);Turdidae (Merles, Rouges-gorges, Grives)
Sialia sialis (Linnaeus, 1758);;Passeriformes (Passereaux);Turdidae (Merles, Rouges-gorges, Grives)
Sibirionetta formosa (Georgi, 1775);Sarcelle ÇlÇgante;Anseriformes (Canards, Oies, Cygnes);Anatidae
Sicalis flaveola (Linnaeus, 1766);;Passeriformes (Passereaux);Thraupidae
Sicalis luteiventris (Meyen, 1834);;Passeriformes (Passereaux);Thraupidae
Sicalis luteola (Sparrman, 1789);Sicale des savanes;Passeriformes (Passereaux);Thraupidae
Sirystes sibilator (Vieillot, 1818);;Passeriformes (Passereaux);Tyrannidae
Sirystes subcanescens Todd, 1920;;Passeriformes (Passereaux);Tyrannidae
Sitta canadensis Linnaeus, 1766;Sittelle Ö poitrine rousse;Passeriformes (Passereaux);Sittidae (Sitelles)
Sitta europaea Linnaeus, 1758;Sittelle torchepot;Passeriformes (Passereaux);Sittidae (Sitelles)
Sitta whiteheadi Sharpe, 1884;Sittelle corse;Passeriformes (Passereaux);Sittidae (Sitelles)
Sittasomus griseicapillus (Vieillot, 1818);;Passeriformes (Passereaux);Furnariidae
Somateria mollissima (Linnaeus, 1758);Eider Ö duvet;Anseriformes (Canards, Oies, Cygnes);Anatidae
Somateria spectabilis (Linnaeus, 1758);Eider Ö tàte grise;Anseriformes (Canards, Oies, Cygnes);Anatidae
Spatula clypeata (Linnaeus, 1758);Canard souchet;Anseriformes (Canards, Oies, Cygnes);Anatidae
Spatula discors (Linnaeus, 1766);Sarcelle Ö ailes bleues;Anseriformes (Canards, Oies, Cygnes);Anatidae
Spatula querquedula (Linnaeus, 1758);Sarcelle d'ÇtÇ;Anseriformes (Canards, Oies, Cygnes);Anatidae
Sphyrapicus varius (Linnaeus, 1766);Pic maculÇ;Piciformes (Pics);Picidae
Spiza americana (Gmelin, 1789);Dickcissel d'AmÇrique;Passeriformes (Passereaux);Cardinalidae
Spizaetus melanoleucus (Vieillot, 1816);Aigle noir et blanc;Accipitriformes;Accipitridae
Spizaetus ornatus (Daudin, 1800);Aigle ornÇ;Accipitriformes;Accipitridae
Spizaetus tyrannus (Wied-Neuwied, 1820);Aigle tyran;Accipitriformes;Accipitridae
Spizaetus tyrannus serus Friedmann, 1950;;Accipitriformes;Accipitridae
Spizella arborea (A. Wilson, 1810);Pinson hudsonien;Passeriformes (Passereaux);Emberizidae (Bruants)
Spizella passerina (Bechstein, 1798);Pinson familier;Passeriformes (Passereaux);Emberizidae (Bruants)
Spizella pusilla (A. Wilson, 1810);Bruant des champs;Passeriformes (Passereaux);Emberizidae (Bruants)
Sporophila americana (Gmelin, 1789);Sporophile Ö ailes blanches;Passeriformes (Passereaux);Thraupidae
Sporophila angolensis (Linnaeus, 1766);Sporophile curio;Passeriformes (Passereaux);Thraupidae
Sporophila angolensis torrida (Scopoli, 1769);;Passeriformes (Passereaux);Thraupidae
Sporophila bouvreuil (Statius MÅller, 1776);;Passeriformes (Passereaux);Thraupidae
Sporophila bouvronides (Lesson, 1831);Sporophile faux-bouvron;Passeriformes (Passereaux);Thraupidae
Sporophila castaneiventris Cabanis, 1849;Sporophile Ö ventre chÉtain;Passeriformes (Passereaux);Thraupidae
Sporophila crassirostris (Gmelin, 1789);Sporophile crassirostre;Passeriformes (Passereaux);Thraupidae
Sporophila lineola (Linnaeus, 1758);Sporophile bouveron;Passeriformes (Passereaux);Thraupidae
Sporophila minuta (Linnaeus, 1758);Sporophile petit-louis;Passeriformes (Passereaux);Thraupidae
Sporophila nigricollis (Vieillot, 1823);Sporophile Ö ventre jaune;Passeriformes (Passereaux);Thraupidae
Sporophila plumbea (Wied-Neuwied, 1831);Sporophile gris-de-plomb;Passeriformes (Passereaux);Thraupidae
Sporophila plumbea whiteleyana (Sharpe, 1888);;Passeriformes (Passereaux);Thraupidae
Sporophila schistacea (Lawrence, 1862);Sporophile ardoisÇ;Passeriformes (Passereaux);Thraupidae
Steatornis caripensis Humboldt, 1817;Guacharo des cavernes;Caprimulgiformes;Steatornithidae
Steganopus tricolor Vieillot, 1819;Phalarope de Wilson;Charadriiformes (Limicoles);Scolopacidae (BÇcasses)
Stelgidopteryx ruficollis (Vieillot, 1817);Hirondelle Ö gorge rousse;Passeriformes (Passereaux);Hirundinidae (Hirondelles)
Stelgidopteryx serripennis (Audubon, 1838);Hirondelle Ö ailes hÇrissÇes;Passeriformes (Passereaux);Hirundinidae (Hirondelles)
Stercorarius antarcticus (Lesson, 1831);Labbe antarctique;Charadriiformes (Limicoles);Stercorariidae (Labbes (Stercoraires))
Stercorarius antarcticus lonnbergi Mathews, 1912;Grand Labbe, Labbe subantarctique;Charadriiformes (Limicoles);Stercorariidae (Labbes (Stercoraires))
Stercorarius chilensis Bonaparte, 1857;;Charadriiformes (Limicoles);Stercorariidae (Labbes (Stercoraires))
Stercorarius longicaudus Vieillot, 1819;Labbe Ö longue queue;Charadriiformes (Limicoles);Stercorariidae (Labbes (Stercoraires))
Stercorarius maccormicki Saunders, 1893;Labbe de McCormick;Charadriiformes (Limicoles);Stercorariidae (Labbes (Stercoraires))
Stercorarius parasiticus (Linnaeus, 1758);Labbe parasite;Charadriiformes (Limicoles);Stercorariidae (Labbes (Stercoraires))
Stercorarius pomarinus (Temminck, 1815);Labbe pomarin;Charadriiformes (Limicoles);Stercorariidae (Labbes (Stercoraires))
Stercorarius skua (BrÅnnich, 1764);Grand Labbe;Charadriiformes (Limicoles);Stercorariidae (Labbes (Stercoraires))
Sterna dougallii bangsi Mathews, 1912;Sterne de Dougall;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sterna dougallii Montagu, 1813;Sterne de Dougall;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sterna forsteri Nuttall, 1834;Sterne de Forster;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sterna hirundo Linnaeus, 1758;Sterne pierregarin;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sterna paradisaea Pontoppidan, 1763;Sterne arctique;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sterna repressa Hartert, 1916;Sterne Ö joues blanches;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sterna sumatrana Raffles, 1822;Sterne diamant;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sterna virgata Cabanis, 1875;Sterne de Kerguelen;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sterna vittata Gmelin, 1789;Sterne subantarctique;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sternula albifrons (Pallas, 1764);Sterne naine;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sternula antillarum Lesson, 1847;Petite Sterne;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sternula nereis (Gould, 1843);;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sternula nereis exsul (Mathews, 1912);Sterne nÇrÇis;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sternula saundersi (Hume, 1877);Sterne de Saunders;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Sternula superciliaris (Vieillot, 1819);Sterne argentÇe;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
