referenceName;vernacularName ;type ;family
Egretta caerulea (Linnaeus, 1758);Aigrette bleue;Pelecaniformes;Ardeidae (HÇrons)
Egretta dimorpha Hartert, 1914;;Pelecaniformes;Ardeidae (HÇrons)
Egretta garzetta (Linnaeus, 1766);Aigrette garzette;Pelecaniformes;Ardeidae (HÇrons)
Egretta gularis (Bosc, 1792);Aigrette des rÇcifs;Pelecaniformes;Ardeidae (HÇrons)
Egretta novaehollandiae (Latham, 1790);Aigrette Ö face blanche, HÇron Ö face blanche, Long cou;Pelecaniformes;Ardeidae (HÇrons)
Egretta picata (Gould, 1845);;Pelecaniformes;Ardeidae (HÇrons)
Egretta rufescens (Gmelin, 1789);Aigrette roussÉtre;Pelecaniformes;Ardeidae (HÇrons)
Egretta sacra (Gmelin, 1789);;Pelecaniformes;Ardeidae (HÇrons)
Egretta sacra albolineata (G. R. Gray, 1859);Aigrette sacrÇe, Aigrette des rÇcifs;Pelecaniformes;Ardeidae (HÇrons)
Egretta thula (Molina, 1782);Aigrette neigeuse;Pelecaniformes;Ardeidae (HÇrons)
Egretta thula thula (Molina, 1782);;Pelecaniformes;Ardeidae (HÇrons)
Egretta tricolor (Statius MÅller, 1776);Aigrette tricolore;Pelecaniformes;Ardeidae (HÇrons)
Egretta tricolor tricolor (Statius MÅller, 1776);;Pelecaniformes;Ardeidae (HÇrons)
Elaenia chiriquensis albivertex Pelzeln, 1868;;Passeriformes (Passereaux);Tyrannidae
Elaenia chiriquensis Lawrence, 1865;êlÇnie menue;Passeriformes (Passereaux);Tyrannidae
Elaenia cristata Pelzeln, 1868;êlÇnie huppÇe;Passeriformes (Passereaux);Tyrannidae
Elaenia flavogaster (Thunberg, 1822);êlÇnie Ö ventre jaune;Passeriformes (Passereaux);Tyrannidae
Elaenia martinica (Linnaeus, 1766);êlaäne siffleuse, Siffleur blanc, êlÇnie siffleuse;Passeriformes (Passereaux);Tyrannidae
Elaenia martinica riisii Sclater, 1860;;Passeriformes (Passereaux);Tyrannidae
Elaenia parvirostris Pelzeln, 1868;êlÇnie Ö bec court;Passeriformes (Passereaux);Tyrannidae
Elaenia ruficeps Pelzeln, 1868;êlÇnie tàte-de-feu;Passeriformes (Passereaux);Tyrannidae
Elanoides forficatus (Linnaeus, 1758);Milan Ö queue fourchue, Naucler Ö queue fourchue;Accipitriformes;Accipitridae
Elanoides forficatus yetapa (Vieillot, 1818);;Accipitriformes;Accipitridae
